state,State/Region Pcode,District, Township ,Township Pcode,,Population,"IDPs 
(projection)","Returned, resettled and locally integrated IDPs
(projection)","Non-displaced stateless people in Rakhine
",Rest of the population
Kachin,MMR001,Myitkyina,Myitkyina,MMR001001,MMR001001,387555.0313,14364,2729,,370462.0313
Kachin,MMR001,Myitkyina,Waingmaw,MMR001002,MMR001002,153377.0225,31793,6041,,115543.0225
Kachin,MMR001,Myitkyina,Injangyang,MMR001003,MMR001003,2104.985958,597,113,,1394.985958
Kachin,MMR001,Myitkyina,Tanai,MMR001004,MMR001004,73155.62113,1434,272,,71449.62113
Kachin,MMR001,Myitkyina,Chipwi,MMR001005,MMR001005,24096.95791,2617,497,,20982.95791
Kachin,MMR001,Myitkyina,Tsawlaw,MMR001006,MMR001006,7867.595786,79,15,,7773.595786
Kachin,MMR001,Mohnyin,Mohnyin,MMR001007,MMR001007,256126.3762,2068,393,,253665.3762
Kachin,MMR001,Mohnyin,Mogaung,MMR001008,MMR001008,162575.5166,5867,1115,,155593.5166
Kachin,MMR001,Mohnyin,Hpakant,MMR001009,MMR001009,402320.1722,10869,2065,,389386.1722
Kachin,MMR001,Bhamo,Bhamo,MMR001010,MMR001010,166451.6811,12247,2327,,151877.6811
Kachin,MMR001,Bhamo,Shwegu,MMR001011,MMR001011,115705.849,2246,427,,113032.849
Kachin,MMR001,Bhamo,Momauk,MMR001012,MMR001012,77294.47306,28425,5401,,43468.47306
Kachin,MMR001,Bhamo,Mansi,MMR001013,MMR001013,64861.74641,14880,2827,,47154.74641
Kachin,MMR001,Puta-O,Puta-O,MMR001014,MMR001014,74395.26694,4320,821,,69254.26694
Kachin,MMR001,Puta-O,Sumprabum,MMR001015,MMR001015,3106.96003,1149,218,,1739.96003
Kachin,MMR001,Puta-O,Machanbaw,MMR001016,MMR001016,10911.12055,0,0,,10911.12055
Kachin,MMR001,Puta-O,Nawngmun,MMR001017,MMR001017,8705.692807,87,17,,8601.692807
Kachin,MMR001,Puta-O,Khaunglanhpu,MMR001018,MMR001018,14052.93033,0,0,,14052.93033
Kayah,MMR002,Loikaw,Loikaw,MMR002001,MMR002001,154754.1349,32880,6247,,115627.1349
Kayah,MMR002,Loikaw,Demoso,MMR002002,MMR002002,94740.75451,75792,14400,,0
Kayah,MMR002,Loikaw,Hpruso,MMR002003,MMR002003,35201.21862,28161,5351,,1689.218615
Kayah,MMR002,Loikaw,Shadaw,MMR002004,MMR002004,8120.2868,364,69,,7687.2868
Kayah,MMR002,Bawlake,Bawlake,MMR002005,MMR002005,13169.95324,310,59,,12800.95324
Kayah,MMR002,Bawlake,Hpasawng,MMR002006,MMR002006,30565.01455,120,23,,30422.01455
Kayah,MMR002,Bawlake,Mese,MMR002007,MMR002007,7538.637339,836,159,,6543.637339
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,MMR003001,461756.3028,3914,744,,457098.3028
Kayin,MMR003,Hpa-An,Hlaingbwe,MMR003002,MMR003002,288669.2346,10951,2081,,275637.2346
Kayin,MMR003,Hpapun,Hpapun,MMR003003,MMR003003,123257,42749,8122,,72386
Kayin,MMR003,Hpa-An,Thandaunggyi,MMR003004,MMR003004,103949.2867,24328,4622,,74999.28675
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,MMR003005,226192.5262,47766,9076,,169350.5262
Kayin,MMR003,Kawkareik,Kawkareik,MMR003006,MMR003006,240336.6926,26976,5125,,208235.6926
Kayin,MMR003,Kawkareik,Kyainseikgyi,MMR003007,MMR003007,276205.6406,14744,2801,,258660.6406
Chin,MMR004,Falam,Falam,MMR004001,MMR004001,53870.41165,2269,431,,51170.41165
Chin,MMR004,Hakha,Hakha,MMR004002,MMR004002,54189.56114,12270,2331,,39588.56114
Chin,MMR004,Hakha,Thantlang,MMR004003,MMR004003,56507.12685,27439,5213,,23855.12685
Chin,MMR004,Falam,Tedim,MMR004004,MMR004004,98125.99012,20,4,,98101.99012
Chin,MMR004,Falam,Tonzang,MMR004005,MMR004005,35660.42705,357,68,,35235.42705
Chin,MMR004,Mindat,Mindat,MMR004006,MMR004006,47623.78854,13685,2600,,31338.78854
Chin,MMR004,Matupi,Matupi,MMR004007,MMR004007,57597.89583,12624,2399,,42574.89583
Chin,MMR004,Mindat,Kanpetlet,MMR004008,MMR004008,24026.116,8510,1617,,13899.116
Chin,MMR004,Matupi,Paletwa,MMR004009,MMR004009,108375.6828,2575,489,,105311.6828
Sagaing,MMR005,Sagaing,Sagaing,MMR005001,MMR005001,330767.403,3308,629,,326830.403
Sagaing,MMR005,Sagaing,Myinmu,MMR005002,MMR005002,115942.7575,52076,9894,,53972.75749
Sagaing,MMR005,Sagaing,Myaung,MMR005003,MMR005003,115460.3366,70789,13450,,31221.33661
Sagaing,MMR005,Shwebo,Shwebo,MMR005004,MMR005004,286642.3947,61940,11769,,212933.3947
Sagaing,MMR005,Shwebo,Khin-U,MMR005005,MMR005005,156828.5527,23981,4556,,128291.5527
Sagaing,MMR005,Shwebo,Wetlet,MMR005006,MMR005006,211850.2732,13607,2585,,195658.2732
Sagaing,MMR005,Kanbalu,Kanbalu,MMR005007,MMR005007,313642.0613,5843,1110,,306689.0613
Sagaing,MMR005,Kanbalu,Kyunhla,MMR005008,MMR005008,110468.4511,28628,5439,,76401.45106
Sagaing,MMR005,Shwebo,Ye-U,MMR005009,MMR005009,127102.0596,50961,9683,,66458.05964
Sagaing,MMR005,Shwebo,Tabayin,MMR005010,MMR005010,150943.8908,120828,22957,,7158.890813
Sagaing,MMR005,Shwebo,Taze,MMR005011,MMR005011,176858.5159,103052,19580,,54226.51588
Sagaing,MMR005,Monywa,Monywa,MMR005012,MMR005012,399023.4257,80,15,,398928.4257
Sagaing,MMR005,Monywa,Budalin,MMR005013,MMR005013,133413.3719,66269,12591,,54553.37193
Sagaing,MMR005,Monywa,Ayadaw,MMR005014,MMR005014,167727.3669,37954,7211,,122562.3669
Sagaing,MMR005,Monywa,Chaung-U,MMR005015,MMR005015,114110.0397,5609,1066,,107435.0397
Sagaing,MMR005,Yinmarbin,Yinmarbin,MMR005016,MMR005016,151485.8608,63173,12003,,76309.86078
Sagaing,MMR005,Yinmarbin,Kani,MMR005017,MMR005017,143747.6209,28712,5455,,109580.6209
Sagaing,MMR005,Yinmarbin,Salingyi,MMR005018,MMR005018,131185.3915,8590,1632,,120963.3915
Sagaing,MMR005,Yinmarbin,Pale,MMR005019,MMR005019,154347.5051,123478,23461,,7408.505124
Sagaing,MMR005,Katha,Katha,MMR005020,MMR005020,176968.7521,1414,269,,175285.7521
Sagaing,MMR005,Katha,Indaw,MMR005021,MMR005021,127650.2686,2381,452,,124817.2686
Sagaing,MMR005,Katha,Tigyaing,MMR005022,MMR005022,137740.0411,28,5,,137707.0411
Sagaing,MMR005,Katha,Banmauk,MMR005023,MMR005023,118833.9225,1188,226,,117419.9225
Sagaing,MMR005,Kawlin,Kawlin,MMR005024,MMR005024,155231.4345,42143,8007,,105081.4345
Sagaing,MMR005,Kawlin,Wuntho,MMR005025,MMR005025,78158.07567,18554,3525,,56079.07567
Sagaing,MMR005,Kawlin,Pinlebu,MMR005026,MMR005026,118760.8741,36493,6934,,75333.87415
Sagaing,MMR005,Kale,Kale,MMR005027,MMR005027,370046.6676,80418,15279,,274349.6676
Sagaing,MMR005,Kale,Kalewa,MMR005028,MMR005028,59991.55016,600,114,,59277.55016
Sagaing,MMR005,Kale,Mingin,MMR005029,MMR005029,111080.6828,65349,12416,,33315.6828
Sagaing,MMR005,Tamu,Tamu,MMR005030,MMR005030,121127.0837,24,5,,121098.0837
Sagaing,MMR005,Mawlaik,Mawlaik,MMR005031,MMR005031,54502.48066,11,2,,54489.48066
Sagaing,MMR005,Mawlaik,Paungbyin,MMR005032,MMR005032,119166.4401,1192,226,,117748.4401
Sagaing,MMR005,Hkamti,Hkamti,MMR005033,MMR005033,50079.50985,501,95,,49483.50985
Sagaing,MMR005,Hkamti,Homalin,MMR005034,MMR005034,270724.3605,0,0,,270724.3605
Sagaing,MMR005,Naga Self-Administered Zone,Lay Shi,MMR005035,MMR005035,17130.20821,0,0,,17130.20821
Sagaing,MMR005,Naga Self-Administered Zone,Lahe,MMR005036,MMR005036,50785.90406,0,0,,50785.90406
Sagaing,MMR005,Naga Self-Administered Zone,Nanyun,MMR005037,MMR005037,54470.4648,0,0,,54470.4648
Tanintharyi,MMR006,Dawei,Dawei,MMR006001,MMR006001,160970.753,6178,1174,,153618.753
Tanintharyi,MMR006,Dawei,Launglon,MMR006002,MMR006002,129467.8583,26,5,,129436.8583
Tanintharyi,MMR006,Dawei,Thayetchaung,MMR006003,MMR006003,115291.0587,31826,6047,,77418.05867
Tanintharyi,MMR006,Dawei,Yebyu,MMR006004,MMR006004,132830.9526,6619,1258,,124953.9526
Tanintharyi,MMR006,Myeik,Myeik,MMR006005,MMR006005,308243.6298,848,161,,307234.6298
Tanintharyi,MMR006,Myeik,Kyunsu,MMR006006,MMR006006,183848.5576,0,0,,183848.5576
Tanintharyi,MMR006,Myeik,Palaw,MMR006007,MMR006007,140533.9285,6384,1213,,132936.9285
Tanintharyi,MMR006,Myeik,Tanintharyi,MMR006008,MMR006008,114700.5616,13400,2546,,98754.56162
Tanintharyi,MMR006,Kawthoung,Kawthoung,MMR006009,MMR006009,151222.1748,0,0,,151222.1748
Tanintharyi,MMR006,Kawthoung,Bokpyin,MMR006010,MMR006010,87247.52526,614,117,,86516.52526
Bago (East),MMR111,Bago,Bago,MMR007001,MMR007001,500087.8011,5001,950,,494136.8011
Bago (East),MMR111,Bago,Thanatpin,MMR007002,MMR007002,146303.6844,0,0,,146303.6844
Bago (East),MMR111,Bago,Kawa,MMR007003,MMR007003,199548.6958,0,0,,199548.6958
Bago (East),MMR111,Bago,Waw,MMR007004,MMR007004,177665.3708,0,0,,177665.3708
Bago (East),MMR111,Bago,Nyaunglebin,MMR007005,MMR007005,202766.4611,4501,855,,197410.4611
Bago (East),MMR111,Bago,Kyauktaga,MMR007006,MMR007006,252902.0255,1127,214,,251561.0255
Bago (East),MMR111,Bago,Daik-U,MMR007007,MMR007007,205038.5659,0,0,,205038.5659
Bago (East),MMR111,Bago,Shwegyin,MMR007008,MMR007008,107901.9179,191,36,,107674.9179
Bago (East),MMR111,Taungoo,Taungoo,MMR007009,MMR007009,267279.7629,4585,871,,261823.7629
Bago (East),MMR111,Taungoo,Yedashe,MMR007010,MMR007010,216257.8718,0,0,,216257.8718
Bago (East),MMR111,Taungoo,Kyaukkyi,MMR007011,MMR007011,113765.4305,72872,13846,,27047.4305
Bago (East),MMR111,Taungoo,Phyu,MMR007012,MMR007012,260566.6057,6001,1140,,253425.6057
Bago (East),MMR111,Taungoo,Oktwin,MMR007013,MMR007013,161706.9219,490,93,,161123.9219
Bago (East),MMR111,Taungoo,Htantabin,MMR007014,MMR007014,118503.832,2046,389,,116068.832
Bago (West),MMR111,Pyay,Pyay,MMR008001,MMR008001,259960.5467,0,0,,259960.5467
