state,adm1_pcode,District,township,Township Pcode,Population,IDPs,IDP returnees/ resettled/ locally integrated ,"Non-displaced stateless people in Rakhine
",Rest of the population
Kachin,MMR001,Myitkyina,Myitkyina,MMR001001,387555.0313,11831,1586,,374138.0313
Kachin,MMR001,Myitkyina,Waingmaw,MMR001002,153377.0225,27907,1315,,124155.0225
Kachin,MMR001,Myitkyina,Injangyang,MMR001003,2104.985958,574,,,1530.985958
Kachin,MMR001,Myitkyina,Tanai,MMR001004,73155.62113,1268,92,,71795.62113
Kachin,MMR001,Myitkyina,Chipwi,MMR001005,24096.95791,2510,250,,21336.95791
Kachin,MMR001,Myitkyina,Tsawlaw,MMR001006,7867.595786,,,,7867.595786
Kachin,MMR001,Mohnyin,Mohnyin,MMR001007,256126.3762,942,267,,254917.3762
Kachin,MMR001,Mohnyin,Mogaung,MMR001008,162575.5166,1651,3068,,157856.5166
Kachin,MMR001,Mohnyin,Hpakant,MMR001009,402320.1722,5643,2470,,394207.1722
Kachin,MMR001,Bhamo,Bhamo,MMR001010,166451.6811,7973,4593,,153885.6811
Kachin,MMR001,Bhamo,Shwegu,MMR001011,115705.849,949,205,,114551.849
Kachin,MMR001,Bhamo,Momauk,MMR001012,77294.47306,24657,2821,,49816.47306
Kachin,MMR001,Bhamo,Mansi,MMR001013,64861.74641,14388,0,,50473.74641
Kachin,MMR001,Puta-O,Puta-O,MMR001014,74395.26694,0,3713,,70682.26694
Kachin,MMR001,Puta-O,Sumprabum,MMR001015,3106.96003,1170,,,1936.96003
Kachin,MMR001,Puta-O,Machanbaw,MMR001016,10911.12055,,,,10911.12055
Kachin,MMR001,Puta-O,Nawngmun,MMR001017,8705.692807,,,,8705.692807
Kachin,MMR001,Puta-O,Khaunglanhpu,MMR001018,14052.93033,,,,14052.93033
Kayah,MMR002,Loikaw,Loikaw,MMR002001,154754.1349,17340,15035,,122379.1349
Kayah,MMR002,Loikaw,Demoso,MMR002002,94740.75451,44630,51821,,0
Kayah,MMR002,Loikaw,Hpruso,MMR002003,35201.21862,11740,14301,,9160.218615
Kayah,MMR002,Loikaw,Shadaw,MMR002004,8120.2868,153,,,7967.2868
Kayah,MMR002,Bawlake,Bawlake,MMR002005,13169.95324,130,0,,13039.95324
Kayah,MMR002,Bawlake,Hpasawng,MMR002006,30565.01455,120,0,,30445.01455
Kayah,MMR002,Bawlake,Mese,MMR002007,7538.637339,541,0,,6997.637339
Kayin,MMR003,Hpa-An,Hpa-An,MMR003001,461756.3028,1477,450,,459829.3028
Kayin,MMR003,Hpa-An,Hlaingbwe,MMR003002,288669.2346,8732,1160,,278777.2346
Kayin,MMR003,Hpapun,Hpapun,MMR003003,123257,44727,979,,77551
Kayin,MMR003,Hpa-An,Thandaunggyi,MMR003004,103949.2867,11876,0,,92073.28675
Kayin,MMR003,Myawaddy,Myawaddy,MMR003005,226192.5262,11762,14819,,199611.5262
Kayin,MMR003,Kawkareik,Kawkareik,MMR003006,240336.6926,6120,9223,,224993.6926
Kayin,MMR003,Kawkareik,Kyainseikgyi,MMR003007,276205.6406,5346,1520,,269339.6406
Chin,MMR004,Falam,Falam,MMR004001,53870.41165,3416,,,50454.41165
Chin,MMR004,Hakha,Hakha,MMR004002,54189.56114,5299,,,48890.56114
